date,store_key,prod_key,prediction,lower_95,upper_95
2024-07-01,store_id_BASE,product_id_BASE,30.295267,23.463726,37.12681
2024-07-02,store_id_BASE,product_id_BASE,29.420599,22.589058,36.25214
2024-07-03,store_id_BASE,product_id_BASE,28.948708,22.117167,35.780247
2024-07-04,store_id_BASE,product_id_BASE,31.379492,24.54795,38.211033
2024-07-05,store_id_BASE,product_id_BASE,28.8499,22.018358,35.68144
2024-07-06,store_id_BASE,product_id_BASE,32.047543,25.216002,38.87908
2024-07-07,store_id_BASE,product_id_BASE,49.14279,42.311253,55.97433
2024-07-08,store_id_BASE,product_id_BASE,31.029804,24.198263,37.861343
2024-07-09,store_id_BASE,product_id_BASE,32.73515,25.903608,39.56669
2024-07-10,store_id_BASE,product_id_BASE,32.18628,25.354738,39.01782
2024-07-11,store_id_BASE,product_id_BASE,32.041637,25.210096,38.873177
2024-07-12,store_id_BASE,product_id_BASE,32.88786,26.056318,39.7194
2024-07-13,store_id_BASE,product_id_BASE,32.671078,25.839537,39.502617
2024-07-14,store_id_BASE,product_id_BASE,31.65706,24.82552,38.4886
2024-07-15,store_id_BASE,product_id_BASE,30.42009,23.588549,37.25163
2024-07-16,store_id_BASE,product_id_BASE,27.841484,21.009943,34.673023
2024-07-17,store_id_BASE,product_id_BASE,29.868467,23.036926,36.70001
2024-07-18,store_id_BASE,product_id_BASE,32.12907,25.29753,38.96061
2024-07-19,store_id_BASE,product_id_BASE,28.901323,22.069782,35.732864
2024-07-20,store_id_BASE,product_id_BASE,29.641602,22.81006,36.47314
2024-07-21,store_id_BASE,product_id_BASE,30.925076,24.093534,37.756615
2024-07-22,store_id_BASE,product_id_BASE,29.031921,22.20038,35.86346
2024-07-23,store_id_BASE,product_id_BASE,29.799034,22.967493,36.630573
2024-07-24,store_id_BASE,product_id_BASE,29.595638,22.764097,36.427177
2024-07-25,store_id_BASE,product_id_BASE,28.979837,22.148296,35.81138
2024-07-26,store_id_BASE,product_id_BASE,28.581451,21.74991,35.41299
2024-07-27,store_id_BASE,product_id_BASE,29.1589,22.327358,35.99044
2024-07-28,store_id_BASE,product_id_BASE,31.373337,24.541796,38.204876
2024-07-29,store_id_BASE,product_id_BASE,30.348635,23.517094,37.180176
2024-07-30,store_id_BASE,product_id_BASE,31.375996,24.544455,38.207535
2024-07-31,store_id_BASE,product_id_BASE,53.64575,46.81421,60.477287
2024-08-01,store_id_BASE,product_id_BASE,29.883009,23.051468,36.71455
